goos: darwin
goarch: arm64
pkg: github.com/Gaudeamus/syncMapGeneric
cpu: Apple M1 Pro
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	342725234	         4.331 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	351469740	         3.423 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	342123654	         3.489 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	333651962	         3.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	417339226	         3.481 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	350924692	         3.439 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	345031291	         3.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	350076511	         3.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	358049436	         3.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyHits/*syncmap.SyncMap[int,int]-10         	358910660	         3.410 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	523166655	         2.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	557097244	         2.318 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	557550540	         2.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	537268225	         2.326 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	500158729	         2.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	520401548	         2.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	545263393	         2.215 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	561012985	         2.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadMostlyMisses/*syncmap.SyncMap[int,int]-10       	549004251	         2.181 ns/op	       0 B/op	       0 allocs/op
